Identyfikator Produktu (ID);Atrybut (Nazwa:Typ:Pozycja);Wartość (Wartość:Pozycja);Ilość
54;Rozmiar:rozmiar:0; 44:0;100
54;Rozmiar:rozmiar:0; 46:0;100
55;Rozmiar:rozmiar:0; 32:0;100
55;Rozmiar:rozmiar:0; 34:0;100
55;Rozmiar:rozmiar:0; 36:0;100
55;Rozmiar:rozmiar:0; 38:0;100
55;Rozmiar:rozmiar:0; 40:0;100
55;Rozmiar:rozmiar:0; 42:0;100
55;Rozmiar:rozmiar:0; 44:0;100
55;Rozmiar:rozmiar:0; 46:0;100
55;Rozmiar:rozmiar:0; 48:0;100
55;Rozmiar:rozmiar:0; 50:0;100
56;Rozmiar:rozmiar:0; 32:0;100
56;Rozmiar:rozmiar:0; 34:0;100
56;Rozmiar:rozmiar:0; 36:0;100
56;Rozmiar:rozmiar:0; 38:0;100
56;Rozmiar:rozmiar:0; 40:0;100
56;Rozmiar:rozmiar:0; 42:0;100
56;Rozmiar:rozmiar:0; 44:0;100
56;Rozmiar:rozmiar:0; 46:0;100
57;Rozmiar:rozmiar:0; 35:0;100
57;Rozmiar:rozmiar:0; 36:0;100
57;Rozmiar:rozmiar:0; 37:0;100
57;Rozmiar:rozmiar:0; 38:0;100
57;Rozmiar:rozmiar:0; 39:0;100
57;Rozmiar:rozmiar:0; 40:0;100
57;Rozmiar:rozmiar:0; 41:0;100
57;Rozmiar:rozmiar:0; 42:0;100
58;Rozmiar:rozmiar:0; L:0;100
58;Rozmiar:rozmiar:0; M:0;100
58;Rozmiar:rozmiar:0; S:0;100
58;Rozmiar:rozmiar:0; XL:0;100
58;Rozmiar:rozmiar:0; XS:0;100
59;Rozmiar:rozmiar:0; 32:0;100
59;Rozmiar:rozmiar:0; 34:0;100
59;Rozmiar:rozmiar:0; 36:0;100
59;Rozmiar:rozmiar:0; 38:0;100
59;Rozmiar:rozmiar:0; 40:0;100
59;Rozmiar:rozmiar:0; 42:0;100
59;Rozmiar:rozmiar:0; 44:0;100
59;Rozmiar:rozmiar:0; 46:0;100
60;Rozmiar:rozmiar:0; 32:0;100
60;Rozmiar:rozmiar:0; 34:0;100
60;Rozmiar:rozmiar:0; 36:0;100
60;Rozmiar:rozmiar:0; 38:0;100
60;Rozmiar:rozmiar:0; 40:0;100
60;Rozmiar:rozmiar:0; 42:0;100
60;Rozmiar:rozmiar:0; 44:0;100
61;Rozmiar:rozmiar:0; L:0;100
61;Rozmiar:rozmiar:0; M:0;100
61;Rozmiar:rozmiar:0; S:0;100
61;Rozmiar:rozmiar:0; XL:0;100
61;Rozmiar:rozmiar:0; XS:0;100
62;Rozmiar:rozmiar:0; 32:0;100
62;Rozmiar:rozmiar:0; 34:0;100
62;Rozmiar:rozmiar:0; 36:0;100
62;Rozmiar:rozmiar:0; 38:0;100
62;Rozmiar:rozmiar:0; 40:0;100
62;Rozmiar:rozmiar:0; 42:0;100
62;Rozmiar:rozmiar:0; 44:0;100
62;Rozmiar:rozmiar:0; 46:0;100
63;Rozmiar:rozmiar:0; 32:0;100
63;Rozmiar:rozmiar:0; 34:0;100
63;Rozmiar:rozmiar:0; 36:0;100
63;Rozmiar:rozmiar:0; 38:0;100
63;Rozmiar:rozmiar:0; 40:0;100
63;Rozmiar:rozmiar:0; 42:0;100
63;Rozmiar:rozmiar:0; 44:0;100
63;Rozmiar:rozmiar:0; 46:0;100
64;Rozmiar:rozmiar:0; 32:0;100
64;Rozmiar:rozmiar:0; 34:0;100
64;Rozmiar:rozmiar:0; 36:0;100
64;Rozmiar:rozmiar:0; 38:0;100
64;Rozmiar:rozmiar:0; 40:0;100
64;Rozmiar:rozmiar:0; 42:0;100
64;Rozmiar:rozmiar:0; 44:0;100
64;Rozmiar:rozmiar:0; 46:0;100
